RUBRO,CATEGORIA,SUB CATEGORIA,MAQUINA,NOMBRE COMERCIAL,ESPECIFICACIONES GENERALES,DISPONIBILIDAD,TONELAJE (T),LARGO ÚTIL (mm),CONTROL,ESP. MÁX ~ACERO (mm),MEDIDAS (mm),PESO (kg),MATERIALES Y ESPESORES,APLICACIONES TÍPICAS,REQUERIMIENTOS DE INSTALACIÓN,FOB SHANGHAI (USD) 🔵,SEÑA,COSTO C/IVA (int),VENT SIN IVA,VENT CON IVA,RESTANTE,MENSAJE WHATSAPP,URL FICHA PDF,PDF
METALURGICA,PLEGADORA,HIDRAULICA NC (TP10S),100T/3200mm,Plegadora Hidráulica NC 100T/3200mm,"Plegadora hidráulica de 100 toneladas con largo útil de 3200 mm. Pliega hasta ~4 mm de acero al carbono en largo completo. Control NC TP10S, operación simple y robusta para producción estándar.",POR PEDIDO,100,3200,NC (TP10S),~4 mm,3400x1500x2420,6000,"Acero al carbono ~4 mm · Galvanizado ~4 mm · Inoxidable ~2,5 mm · Aluminio ~6 mm (a largo completo; en piezas más cortas aumentan)","Chapa fina/media: carpintería metálica, ductos de ventilación, cartelería, bandejas, gabinetes y tableros eléctricos, cerramientos y herrería.","380V trifásica 50Hz · Motor ~7,5 kW · No requiere aire comprimido · Espacio: 3400 × 1500 × 2420 mm + dejar ~2 m libres adelante y atrás para el manejo de chapa · Peso 6000 kg",10200,10710,20400,21230.76923076923,23460,12750,"🔵 Máquina: Plegadora Hidráulica NC 100T/3200mm
⚙️ Especificaciones: Plegadora hidráulica de 100 toneladas con largo útil de 3200 mm. Pliega hasta ~4 mm de acero al carbono en largo completo. Control NC TP10S, operación simple y robusta para producción estándar.
📐 Dimensiones: 3400 x 1500 x 2420 mm
⚖️ Peso: 6000 kg
💰 Seña: USD 10.710,00 (Para empezar la operacion)
💰 Restante: USD 12.750,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 21.230,77 (Sin IVA)
💰 Valor total con IVA : USD 23.460,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,-
METALURGICA,PLEGADORA,HIDRAULICA CNC (DA53TX),125T/3200mm,Plegadora Hidráulica CNC 125T/3200mm,"Plegadora hidráulica de 125 toneladas con largo útil de 3200 mm. Pliega hasta ~5 mm de acero al carbono en largo completo. Control CNC DA53TX táctil: programación de secuencias de plegado, alta precisión y repetibilidad para series y piezas complejas.",POR PEDIDO,125,3200,CNC (DA53TX),~5 mm,3400x1550x2450,7000,Acero al carbono ~5 mm · Galvanizado ~5 mm · Inoxidable ~3 mm · Aluminio ~8 mm (a largo completo; en piezas más cortas aumentan),"Chapa media/estructural: bateas y carrocerías, tanques y silos, tolvas, estructuras metálicas, guardabarros y perfiles plegados.","380V trifásica 50Hz · Motor ~7,5 kW · No requiere aire comprimido · Espacio: 3400 × 1550 × 2450 mm + dejar ~2 m libres adelante y atrás para el manejo de chapa · Peso 7000 kg",21760,22848,43520,45292.30769230769,50047.99999999999,27199.999999999993,"🔵 Máquina: Plegadora Hidráulica CNC 125T/3200mm
⚙️ Especificaciones: Plegadora hidráulica de 125 toneladas con largo útil de 3200 mm. Pliega hasta ~5 mm de acero al carbono en largo completo. Control CNC DA53TX táctil: programación de secuencias de plegado, alta precisión y repetibilidad para series y piezas complejas.
📐 Dimensiones: 3400 x 1550 x 2450 mm
⚖️ Peso: 7000 kg
💰 Seña: USD 22.848,00 (Para empezar la operacion)
💰 Restante: USD 27.200,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 45.292,31 (Sin IVA)
💰 Valor total con IVA : USD 50.048,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,-
METALURGICA,PLEGADORA,HIDRAULICA NC (TP10S),160T/3200mm,Plegadora Hidráulica NC 160T/3200mm,"Plegadora hidráulica de 160 toneladas con largo útil de 3200 mm. Pliega hasta ~6 mm (1/4"") de acero al carbono en largo completo. Control NC TP10S, operación simple y robusta para producción estándar.",POR PEDIDO,160,3200,NC (TP10S),"~6 mm (1/4"")",3400x1700x2520,8000,Acero al carbono ~6 mm · Galvanizado ~6 mm · Inoxidable ~4 mm · Aluminio ~9 mm (a largo completo; en piezas más cortas aumentan),"Chapa media/estructural: bateas y carrocerías, tanques y silos, tolvas, estructuras metálicas, guardabarros y perfiles plegados.",380V trifásica 50Hz · Motor ~11 kW · No requiere aire comprimido · Espacio: 3400 × 1700 × 2520 mm + dejar ~2 m libres adelante y atrás para el manejo de chapa · Peso 8000 kg,13350,14017.5,26700,27787.330316742078,30704.999999999996,16687.499999999996,"🔵 Máquina: Plegadora Hidráulica NC 160T/3200mm
⚙️ Especificaciones: Plegadora hidráulica de 160 toneladas con largo útil de 3200 mm. Pliega hasta ~6 mm (1/4"") de acero al carbono en largo completo. Control NC TP10S, operación simple y robusta para producción estándar.
📐 Dimensiones: 3400 x 1700 x 2520 mm
⚖️ Peso: 8000 kg
💰 Seña: USD 14.017,50 (Para empezar la operacion)
💰 Restante: USD 16.687,50 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 27.787,33 (Sin IVA)
💰 Valor total con IVA : USD 30.705,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,-
METALURGICA,PLEGADORA,HIDRAULICA NC (TP10S),200T/3200mm,Plegadora Hidráulica NC 200T/3200mm,"Plegadora hidráulica de 200 toneladas con largo útil de 3200 mm. Pliega hasta ~6-7 mm de acero al carbono en largo completo. Control NC TP10S, operación simple y robusta para producción estándar.",POR PEDIDO,200,3200,NC (TP10S),~6-7 mm,3400x1800x2550,11000,Acero al carbono ~6-7 mm · Galvanizado ~6-7 mm · Inoxidable ~4-5 mm · Aluminio ~10 mm (a largo completo; en piezas más cortas aumentan),"Chapa media/estructural: bateas y carrocerías, tanques y silos, tolvas, estructuras metálicas, guardabarros y perfiles plegados.",380V trifásica 50Hz · Motor ~15 kW · No requiere aire comprimido · Espacio: 3400 × 1800 × 2550 mm + dejar ~2 m libres adelante y atrás para el manejo de chapa · Peso 11000 kg,18500,19425,37000,38506.78733031674,42550,23125,"🔵 Máquina: Plegadora Hidráulica NC 200T/3200mm
⚙️ Especificaciones: Plegadora hidráulica de 200 toneladas con largo útil de 3200 mm. Pliega hasta ~6-7 mm de acero al carbono en largo completo. Control NC TP10S, operación simple y robusta para producción estándar.
📐 Dimensiones: 3400 x 1800 x 2550 mm
⚖️ Peso: 11000 kg
💰 Seña: USD 19.425,00 (Para empezar la operacion)
💰 Restante: USD 23.125,00 (Cuando llega a Argentina)
💰 Valor total sin IVA : USD 38.506,79 (Sin IVA)
💰 Valor total con IVA : USD 42.550,00 (10,5%)
¿Cómo iniciamos el proceso?
Para confirmar el pedido y reservar la producción únicamente se requiere el pago de la seña. El saldo restante se abona al arribo de la mercadería a la Argentina, previo a la liberación de la carga.
⏱️ Plazo estimado de entrega: 45 días hábiles aproximadamente, desde la acreditación del depósito en China hasta el ingreso al puerto de Buenos Aires.",https://drive.google.com/file/d/1u9s2f1hB_5Wo__GiGEb1ZkJXHYHoY5gV/view?usp=drive_link,-
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,u,,,,,,,,,,,,,,,,,,,,,,
